Well,TotalReads,LooseHits,StrictHits
1A,4908176,3330,5
1B,18425221,14135,70
1C,16047730,13694,38
1D,17127988,16923,85
1E,18620864,12656,85
1F,16450825,14235,61
1G,10176388,8460,23
1H,14684190,14241,69
2A,8132529,5280,21
2B,19066242,14549,61
2C,18981602,14339,40
2D,23668279,17209,64
2E,20793575,15982,54
2F,12347420,11087,36
2G,561973,81,0
2H,16409113,13394,38
3A,11291896,6834,54
3B,18441372,11991,59
3C,16336186,13838,58
3D,23324289,14454,76
3E,18966980,14518,60
3F,17136740,13265,77
3G,13766314,12224,85
3H,14182754,12128,62